sample_id,lanelet_id,sequencescape_id,sanger_id,diff_start,acLDL_date,accession,open_access
GOMV_24h_Ctrl,15798_3#5,2232831,GOMV_24h_Ctrl,2014-09-16,2014-11-13,SAMEA103885345,0
JORR_24h_AcLDL,15798_6#16,2232860,JORR_24h_AcLDL,2014-11-04,2014-12-15,SAMEA103885328,0
JORR_24h_Ctrl,15798_6#15,2232859,JORR_24h_Ctrl,2014-11-04,2014-12-15,SAMEA103885083,0
KAKS_24h_AcLDL,15798_3#8,2232834,KAKS_24h_AcLDL,2014-09-26,2014-11-13,SAMEA103884958,0
KAKS_24h_Ctrl,15798_3#7,2232833,KAKS_24h_Ctrl,2014-09-26,2014-11-13,SAMEA103885045,0
MEQO_24h_AcLDL,15798_6#2,2232846,MEQO_24h_AcLDL,2014-10-20,2014-11-20,SAMEA103885015,0
MEQO_24h_Ctrl,15798_6#1,2232845,MEQO_24h_Ctrl,2014-10-20,2014-11-20,SAMEA103884870,0
OARZ_24h_AcLDL,15367_5#16,2181735,OARZ_24h_AcLDL,2014-10-06,2014-11-06,SAMEA103885224,0
OARZ_24h_Ctrl,15367_5#15,2181734,OARZ_24h_Ctrl,2014-10-06,2014-11-06,SAMEA103885301,0
RIIV_24h_AcLDL,15798_3#16,2232842,RIIV_24h_AcLDL,2014-10-16,2014-12-08,SAMEA103885350,0
RIIV_24h_Ctrl,15798_3#15,2232841,RIIV_24h_Ctrl,2014-10-16,2014-12-08,SAMEA103885082,0
VOAS_24h_AcLDL,15798_3#18,2232844,VOAS_24h_AcLDL,2014-10-16,2014-11-20,SAMEA103885291,0
VOAS_24h_Ctrl,15798_3#17,2232843,VOAS_24h_Ctrl,2014-10-16,2014-11-20,SAMEA103884908,0
ZUTA_24h_AcLDL,15798_6#4,2232848,VORX_24h_AcLDL,2014-10-20,2014-11-06,SAMEA103885410,0
ZUTA_24h_Ctrl,15798_6#3,2232847,VORX_24h_Ctrl,2014-10-20,2014-11-06,SAMEA103885037,0
XEGX_24h_AcLDL,15798_6#18,2232862,XEGX_24h_AcLDL,2014-11-04,2014-12-15,SAMEA103885202,0
XEGX_24h_Ctrl,15798_6#17,2232861,XEGX_24h_Ctrl,2014-11-04,2014-12-15,SAMEA103884995,0
VORX_24h_AcLDL,15798_3#2,2232828,ZUTA_24h_AcLDL,2014-10-10,2014-11-20,SAMEA103884872,0
VORX_24h_Ctrl,15798_3#1,2232827,ZUTA_24h_Ctrl,2014-10-10,2014-11-20,SAMEA103884993,0
OUGL_24h_AcLDL,16437_5#6,2288279,IPSC-M-CV6101103,2015-02-01,2015-03-17,SAMEA103884964,0
OUGL_24h_Ctrl,16437_5#5,2288278,IPSC-M-CV6101102,2015-02-01,2015-03-17,SAMEA103885170,0
IICQ_24h_AcLDL,16437_5#8,2288281,IPSC-M-CV6101105,2015-02-26,2015-04-07,SAMEA103884930,0
IICQ_24h_Ctrl,16437_5#7,2288280,IPSC-M-CV6101104,2015-02-26,2015-04-07,SAMEA103884897,0
NIBO_24h_AcLDL,16437_5#10,2288283,IPSC-M-CV6101107,2015-02-02,2015-03-17,SAMEA103885063,0
NIBO_24h_Ctrl,16437_5#9,2288282,IPSC-M-CV6101106,2015-02-02,2015-03-17,SAMEA103885200,0
PIUN_24h_AcLDL,16437_5#12,2288285,IPSC-M-CV6101109,2015-01-31,2015-03-17,SAMEA103884975,0
PIUN_24h_Ctrl,16437_5#11,2288284,IPSC-M-CV6101108,2015-01-31,2015-03-17,SAMEA103884963,0
UIMO_24h_AcLDL,16437_5#14,2288287,IPSC-M-CV6101111,2015-02-24,2015-03-31,SAMEA103885209,0
UIMO_24h_Ctrl,16437_5#13,2288286,IPSC-M-CV6101110,2015-02-24,2015-03-31,SAMEA103885105,0
UAHF_24h_Ctrl,16823_1#1,2309473,IPSC-M-CV6118827,2014-10-03,2014-11-17,SAMEA103885146,0
UAHF_24h_AcLDL,16823_1#2,2309474,IPSC-M-CV6118828,2014-10-03,2014-11-17,SAMEA103885065,0
CICB_24h_Ctrl,16823_1#5,2309477,IPSC-M-CV6118831,2015-03-30,2015-04-28,SAMEA103885204,0
CICB_24h_AcLDL,16823_1#6,2309478,IPSC-M-CV6118832,2015-03-30,2015-04-28,SAMEA103884932,0
OEFG_24h_Ctrl,16823_1#7,2309479,IPSC-M-CV6118833,2015-03-20,2015-04-28,SAMEA103885194,0
OEFG_24h_AcLDL,16823_1#8,2309480,IPSC-M-CV6118834,2015-03-20,2015-04-28,SAMEA103885070,0
RUYV_24h_Ctrl,16823_1#9,2309481,IPSC-M-CV6118835,2015-03-02,2015-04-15,SAMEA103884991,0
RUYV_24h_AcLDL,16823_1#10,2309482,IPSC-M-CV6118836,2015-03-02,2015-04-15,SAMEA103885132,0
EOJR_24h_Ctrl,16823_1#15,2309487,IPSC-M-CV6118841,2015-03-30,2015-05-14,SAMEA103884968,0
EOJR_24h_AcLDL,16823_1#16,2309488,IPSC-M-CV6118842,2015-03-30,2015-05-14,SAMEA103885355,0
SUKZ_24h_Ctrl,16823_2#5,2309495,IPSC-M-CV6118849,2015-03-30,2015-05-06,SAMEA103885035,0
SUKZ_24h_AcLDL,16823_2#6,2309496,IPSC-M-CV6118850,2015-03-30,2015-05-06,SAMEA103885038,0
VEQZ_24h_Ctrl,16823_2#7,2309497,IPSC-M-CV6118851,2015-04-02,2015-05-06,SAMEA103885067,0
VEQZ_24h_AcLDL,16823_2#8,2309498,IPSC-M-CV6118852,2015-04-02,2015-05-06,SAMEA103885214,0
XUCM_24h_Ctrl,16823_2#9,2309499,IPSC-M-CV6118853,2015-04-02,2015-05-14,SAMEA103885317,0
XUCM_24h_AcLDL,16823_2#10,2309500,IPSC-M-CV6118854,2015-04-02,2015-05-14,SAMEA103885064,0
FEBC_24h_AcLDL,18017_1#6,2390635,IPSC-M-CV6190109,2015-07-06,2015-08-05,SAMEA103885336,0
FEBC_24h_Ctrl,18017_1#5,2390634,IPSC-M-CV6190108,2015-07-06,2015-08-05,SAMEA103885272,0
NEMB_24h_AcLDL,18017_1#14,2390643,IPSC-M-CV6190117,2015-06-26,2015-07-27,SAMEA103884961,0
NEMB_24h_Ctrl,18017_1#13,2390642,IPSC-M-CV6190116,2015-06-26,2015-07-27,SAMEA103885364,0
IILL_24h_Ctrl,18640_1#20,2477292,IPSC-M-CV6270841,2015-09-27,2015-10-19,SAMEA103885077,0
IILL_24h_AcLDL,18640_1#7,2477293,IPSC-M-CV6270842,2015-09-27,2015-10-19,SAMEA103885274,0
GUSS_24h_Ctrl,18640_1#12,2477298,IPSC-M-CV6270847,2015-10-16,2015-11-17,SAMEA103884871,0
GUSS_24h_AcLDL,18640_1#13,2477299,IPSC-M-CV6270848,2015-10-16,2015-11-17,SAMEA103885073,0
ZAUI_24h_Ctrl,18640_1#16,2477302,IPSC-M-CV6270851,2015-10-11,2015-11-26,SAMEA103885351,0
ZAUI_24h_AcLDL,18640_1#17,2477303,IPSC-M-CV6270852,2015-10-11,2015-11-26,SAMEA103884973,0
NUKW_24h_Ctrl,18640_5#1,2477306,IPSC-M-CV6270855,2015-09-23,2015-10-29,SAMEA103885120,0
NUKW_24h_AcLDL,18640_5#2,2477307,IPSC-M-CV6270856,2015-09-23,2015-10-29,SAMEA103885223,0
COYI_24h_Ctrl,18640_5#8,2477314,IPSC-M-CV6270863,2015-09-30,2015-11-12,SAMEA103885264,0
COYI_24h_AcLDL,18640_5#9,2477315,IPSC-M-CV6270864,2015-09-30,2015-11-12,SAMEA103885091,0
